,time,x_pos,y_pos,x_vel,y_vel,label
0,0,0.0,0.0,0.0,0.0,Transformer
1,1,0.0005313204601407051,-0.0019696091115474702,0.05313204601407051,-0.196960911154747,Transformer
2,2,0.0036913080886006354,-0.004093723446130753,0.31599876284599304,-0.21241143345832825,Transformer
3,3,0.004196783080697059,-0.004023988214321435,0.05054749920964241,0.0069735231809318066,Transformer
4,4,0.0036110804602503773,-0.005379320797510446,-0.0585702620446682,-0.13553325831890106,Transformer
5,5,0.0017004564031958577,0.000611396613530814,-0.19106240570545197,0.599071741104126,Transformer
6,6,0.0019403221458196636,0.0003596666781231754,0.0239865742623806,-0.025172993540763855,Transformer
7,7,0.003561698719859123,0.00044961280655115773,0.16213765740394592,0.008994612842798233,Transformer
8,8,0.003358616642653942,-0.00039773054886609385,-0.020308207720518112,-0.08473433554172516,Transformer
9,9,-0.0005227558687329295,0.0065160994930192825,-0.38813725113868713,0.6913830041885376,Transformer
10,10,0.0009386470541357991,0.00869955665897578,0.14614029228687286,0.21834571659564972,Transformer
11,11,0.002324353866279125,0.012290338645689191,0.13857068121433258,0.35907819867134094,Transformer
12,12,0.0028150629997253417,0.0185525033576414,0.04907091334462166,0.626216471195221,Transformer
13,13,0.0019087223708629609,0.020167037169449033,-0.0906340628862381,0.16145338118076324,Transformer
14,14,-0.0044046445190906525,0.022160773645155132,-0.6313366889953613,0.19937364757061005,Transformer
15,15,-0.005522344261407852,0.02827804721426219,-0.11176997423171997,0.6117273569107056,Transformer
16,16,-0.009414041787385941,0.03257199950050563,-0.38916975259780884,0.42939522862434387,Transformer
17,17,-0.01303154394030571,0.0384160692198202,-0.36175021529197693,0.5844069719314575,Transformer
18,18,-0.018676436990499496,0.044425741503946486,-0.5644893050193787,0.6009672284126282,Transformer
19,19,-0.017398121654987334,0.051821804116480054,0.12783153355121613,0.7396062612533569,Transformer
20,20,-0.019800784438848494,0.056574017475359145,-0.24026627838611603,0.47522133588790894,Transformer
21,21,-0.01786878019571304,0.05968216575216502,0.19320042431354523,0.31081482768058777,Transformer
22,22,-0.015102547407150266,0.06129264749120921,0.27662327885627747,0.16104817390441895,Transformer
23,23,-0.016418745666742323,0.06450314081739635,-0.13161982595920563,0.3210493326187134,Transformer
24,24,-0.01775303319096565,0.07056467212270945,-0.13342875242233276,0.606153130531311,Transformer
25,25,-0.01936897799372673,0.07557228840421885,-0.1615944802761078,0.5007616281509399,Transformer
26,26,-0.019815489463508126,0.07956191546749324,-0.04465114697813988,0.39896270632743835,Transformer
27,27,-0.020812507234513757,0.0870779002411291,-0.09970177710056305,0.7515984773635864,Transformer
28,28,-0.022014931701123713,0.0907653797371313,-0.12024244666099548,0.3687479496002197,Transformer
29,29,-0.018742834888398646,0.0926713553769514,0.3272096812725067,0.1905975639820099,Transformer
30,30,-0.019634501449763773,0.09601790226530284,-0.08916665613651276,0.33465468883514404,Transformer
